,city,state,status,lastUpdated,totalAvailable,pctAvailable,queryTime
113,NATICK,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
114,NEEDHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
115,NEW BEDFORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
116,NEWBURYPORT,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
117,NEWTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
118,NORTH ADAMS,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
119,NORTH ANDOVER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
120,NORTH ATTLEBOROUGH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
121,NORTH BILLERICA,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
122,NORTH DARTMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
123,NORTH EASTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
124,NORTH GRAFTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
125,NORTH READING,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
126,NORTHAMPTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
127,NORTHBOROUGH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
128,NORTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
129,NORWELL,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
130,NORWOOD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
131,ORLEANS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
132,OXFORD,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
133,PALMER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
134,PEABODY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
135,PEMBROKE,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
136,PITTSFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
137,PLAINVILLE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
138,PLYMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
139,PROVINCETOWN,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
140,QUINCY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
141,RANDOLPH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
142,RAYNHAM,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
143,READING,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
144,REVERE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
145,ROCKLAND,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
146,ROSLINDALE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
147,ROWLEY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
148,SALEM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
149,SALISBURY,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
150,SANDWICH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
151,SAUGUS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
152,SCITUATE,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
153,SEEKONK,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
154,SHARON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
155,SHREWSBURY,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
156,SOMERSET,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
157,SOMERVILLE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
158,SOUTH ATTLEBORO,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
159,SOUTH BOSTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
160,SOUTH DARTMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
161,SOUTH DENNIS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
162,SOUTH EASTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
163,SOUTH HAMILTON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
164,SOUTH WEYMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
165,SOUTH YARMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
166,SOUTHBRIDGE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
167,SOUTHWICK,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
168,SPENCER,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
169,SPRINGFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
